P1 X: 11     P1 Y: 29
P89 X: 11     P89 Y: 16
P90 X: 30     P90 Y: 25
P91 X: 16     P91 Y: 18
P92 X: 6     P92 Y: 12
P93 X: 7     P93 Y: 16
P94 X: 9     P94 Y: 11
P95 X: 24     P95 Y: 17
P96 X: 21     P96 Y: 8
P97 X: 12     P97 Y: 12
P98 X: 2     P98 Y: 15
P99 X: 8     P99 Y: 29
P100 X: 6     P100 Y: 25

P1 X: 6     P1 Y: 6
P2 X: 25     P2 Y: 11
P3 X: 28     P3 Y: 5
P4 X: 23     P4 Y: 17
P5 X: 24     P5 Y: 22
P6 X: 30     P6 Y: 20
P7 X: 2     P7 Y: 28
P8 X: 2     P8 Y: 12
P9 X: 27     P9 Y: 1
P10 X: 13     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 17
P13 X: 9     P13 Y: 21
P14 X: 30     P14 Y: 23
P15 X: 9     P15 Y: 1
P16 X: 25     P16 Y: 3
P17 X: 11     P17 Y: 15
P18 X: 22     P18 Y: 27
P19 X: 21     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 11     P21 Y: 17
P22 X: 29     P22 Y: 7
P23 X: 27     P23 Y: 25
P24 X: 8     P24 Y: 19
P25 X: 27     P25 Y: 7
P26 X: 11     P26 Y: 16
P27 X: 15     P27 Y: 2
P28 X: 15     P28 Y: 15
P29 X: 15     P29 Y: 7
P30 X: 29     P30 Y: 24
P31 X: 20     P31 Y: 22
P32 X: 9     P32 Y: 20
P33 X: 2     P33 Y: 19
P34 X: 16     P34 Y: 18
P35 X: 29     P35 Y: 20
P36 X: 17     P36 Y: 20
P37 X: 19     P37 Y: 24
P38 X: 26     P38 Y: 27
P39 X: 14     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 24
P42 X: 19     P42 Y: 27
P43 X: 4     P43 Y: 8
P44 X: 11     P44 Y: 4
P45 X: 7     P45 Y: 11
P46 X: 25     P46 Y: 1
P47 X: 30     P47 Y: 29
P48 X: 11     P48 Y: 7
P49 X: 17     P49 Y: 19
P50 X: 29     P50 Y: 11
P51 X: 27     P51 Y: 19
P52 X: 21     P52 Y: 13
P53 X: 18     P53 Y: 23
P54 X: 22     P54 Y: 2
P55 X: 4     P55 Y: 7
P56 X: 20     P56 Y: 21
P57 X: 9     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 8
P61 X: 13     P61 Y: 27
P62 X: 29     P62 Y: 29
P63 X: 22     P63 Y: 5
P64 X: 2     P64 Y: 28
P65 X: 5     P65 Y: 8
P66 X: 19     P66 Y: 13
P67 X: 10     P67 Y: 26
P68 X: 11     P68 Y: 8
P69 X: 25     P69 Y: 3
P70 X: 22     P70 Y: 27
P71 X: 15     P71 Y: 14
P72 X: 3     P72 Y: 8
P73 X: 7     P73 Y: 17
P74 X: 7     P74 Y: 12
P75 X: 22     P75 Y: 20
P76 X: 10     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 9     P78 Y: 5
P79 X: 14     P79 Y: 1
P80 X: 24     P80 Y: 24
P81 X: 14     P81 Y: 1
P82 X: 24     P82 Y: 4
P83 X: 5     P83 Y: 9
P84 X: 24     P84 Y: 26
P85 X: 3     P85 Y: 19
P86 X: 8     P86 Y: 0
P87 X: 27     P87 Y: 11
P88 X: 18     P88 Y: 27
P89 X: 11     P89 Y: 16
P90 X: 30     P90 Y: 25
P91 X: 16     P91 Y: 18
P92 X: 6     P92 Y: 12
P93 X: 7     P93 Y: 16
P94 X: 9     P94 Y: 11
P95 X: 24     P95 Y: 17
P96 X: 21     P96 Y: 6
P97 X: 12     P97 Y: 12
P98 X: 2     P98 Y: 15
P99 X: 8     P99 Y: 29
P100 X: 6     P100 Y: 25

P1 X: 6     P1 Y: 6
P2 X: 25     P2 Y: 11
P3 X: 28     P3 Y: 5
P4 X: 23     P4 Y: 17
P5 X: 24     P5 Y: 22
P6 X: 30     P6 Y: 20
P7 X: 2     P7 Y: 28
P8 X: 2     P8 Y: 12
P9 X: 27     P9 Y: 1
P10 X: 13     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 17
P13 X: 9     P13 Y: 21
P14 X: 30     P14 Y: 23
P15 X: 9     P15 Y: 1
P16 X: 25     P16 Y: 3
P17 X: 11     P17 Y: 15
P18 X: 22     P18 Y: 27
P19 X: 21     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 11     P21 Y: 18
P22 X: 29     P22 Y: 7
P23 X: 27     P23 Y: 25
P24 X: 8     P24 Y: 19
P25 X: 27     P25 Y: 7
P26 X: 11     P26 Y: 17
P27 X: 15     P27 Y: 2
P28 X: 15     P28 Y: 15
P29 X: 15     P29 Y: 7
P30 X: 29     P30 Y: 24
P31 X: 20     P31 Y: 22
P32 X: 9     P32 Y: 20
P33 X: 2     P33 Y: 19
P34 X: 16     P34 Y: 18
P35 X: 29     P35 Y: 20
P36 X: 17     P36 Y: 21
P37 X: 19     P37 Y: 24
P38 X: 26     P38 Y: 27
P39 X: 14     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 24
P42 X: 20     P42 Y: 27
P43 X: 4     P43 Y: 8
P44 X: 11     P44 Y: 4
P45 X: 7     P45 Y: 11
P46 X: 25     P46 Y: 1
P47 X: 30     P47 Y: 29
P48 X: 11     P48 Y: 7
P49 X: 17     P49 Y: 19
P50 X: 29     P50 Y: 11
P51 X: 27     P51 Y: 19
P52 X: 21     P52 Y: 13
P53 X: 18     P53 Y: 23
P54 X: 22     P54 Y: 2
P55 X: 4     P55 Y: 8
P56 X: 20     P56 Y: 21
P57 X: 9     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 8
P61 X: 13     P61 Y: 27
P62 X: 29     P62 Y: 29
P63 X: 22     P63 Y: 5
P64 X: 2     P64 Y: 28
P65 X: 5     P65 Y: 8
P66 X: 19     P66 Y: 13
P67 X: 10     P67 Y: 26
P68 X: 11     P68 Y: 8
P69 X: 25     P69 Y: 3
P70 X: 22     P70 Y: 27
P71 X: 15     P71 Y: 14
P72 X: 3     P72 Y: 8
P73 X: 7     P73 Y: 17
P74 X: 7     P74 Y: 12
P75 X: 22     P75 Y: 20
P76 X: 10     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 9     P78 Y: 5
P79 X: 14     P79 Y: 1
P80 X: 24     P80 Y: 24
P81 X: 14     P81 Y: 1
P82 X: 24     P82 Y: 4
P83 X: 5     P83 Y: 9
P84 X: 24     P84 Y: 26
P85 X: 3     P85 Y: 19
P86 X: 8     P86 Y: 0
P87 X: 27     P87 Y: 11
P88 X: 18     P88 Y: 27
P89 X: 11     P89 Y: 16
P90 X: 30     P90 Y: 25
P91 X: 16     P91 Y: 18
P92 X: 6     P92 Y: 12
P93 X: 7     P93 Y: 16
P94 X: 9     P94 Y: 11
P95 X: 24     P95 Y: 17
P96 X: 21     P96 Y: 5
P97 X: 12     P97 Y: 12
P98 X: 2     P98 Y: 15
P99 X: 8     P99 Y: 29
P100 X: 6     P100 Y: 25

P1 X: 6     P1 Y: 6
P2 X: 25     P2 Y: 11
P3 X: 28     P3 Y: 5
P4 X: 23     P4 Y: 17
P5 X: 24     P5 Y: 22
P6 X: 30     P6 Y: 20
P7 X: 2     P7 Y: 28
P8 X: 2     P8 Y: 12
P9 X: 27     P9 Y: 1
P10 X: 13     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 17
P13 X: 9     P13 Y: 21
P14 X: 30     P14 Y: 23
P15 X: 9     P15 Y: 1
P16 X: 25     P16 Y: 3
P17 X: 11     P17 Y: 15
P18 X: 22     P18 Y: 27
P19 X: 21     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 11     P21 Y: 18
P22 X: 29     P22 Y: 7
P23 X: 27     P23 Y: 25
P24 X: 8     P24 Y: 19
P25 X: 27     P25 Y: 7
P26 X: 11     P26 Y: 17
P27 X: 15     P27 Y: 2
P28 X: 15     P28 Y: 15
P29 X: 15     P29 Y: 7
P30 X: 29     P30 Y: 24
P31 X: 20     P31 Y: 22
P32 X: 9     P32 Y: 20
P33 X: 2     P33 Y: 19
P34 X: 16     P34 Y: 18
P35 X: 29     P35 Y: 20
P36 X: 17     P36 Y: 21
P37 X: 19     P37 Y: 24
P38 X: 26     P38 Y: 27
P39 X: 14     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 24
P42 X: 20     P42 Y: 27
P43 X: 4     P43 Y: 8
P44 X: 11     P44 Y: 4
P45 X: 7     P45 Y: 11
P46 X: 25     P46 Y: 1
P47 X: 30     P47 Y: 29
P48 X: 11     P48 Y: 7
P49 X: 17     P49 Y: 19
P50 X: 29     P50 Y: 11
P51 X: 27     P51 Y: 19
P52 X: 21     P52 Y: 13
P53 X: 18     P53 Y: 23
P54 X: 22     P54 Y: 2
P55 X: 4     P55 Y: 8
P56 X: 20     P56 Y: 21
P57 X: 9     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 8
P61 X: 13     P61 Y: 27
P62 X: 29     P62 Y: 29
P63 X: 22     P63 Y: 5
P64 X: 2     P64 Y: 28
P65 X: 5     P65 Y: 8
P66 X: 19     P66 Y: 13
P67 X: 10     P67 Y: 26
P68 X: 11     P68 Y: 8
P69 X: 25     P69 Y: 3
P70 X: 22     P70 Y: 27
P71 X: 15     P71 Y: 14
P72 X: 3     P72 Y: 8
P73 X: 7     P73 Y: 17
P74 X: 7     P74 Y: 12
P75 X: 22     P75 Y: 20
P76 X: 10     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 9     P78 Y: 5
P79 X: 14     P79 Y: 1
P80 X: 24     P80 Y: 24
P81 X: 14     P81 Y: 1
P82 X: 24     P82 Y: 4
P83 X: 5     P83 Y: 9
P84 X: 24     P84 Y: 26
P85 X: 3     P85 Y: 19
P86 X: 8     P86 Y: 0
P87 X: 27     P87 Y: 11
P88 X: 18     P88 Y: 27
P89 X: 11     P89 Y: 16
P90 X: 30     P90 Y: 25
P91 X: 16     P91 Y: 18
P92 X: 6     P92 Y: 12
P93 X: 7     P93 Y: 16
P94 X: 9     P94 Y: 11
P95 X: 24     P95 Y: 17
P96 X: 21     P96 Y: 5
P97 X: 12     P97 Y: 12
P98 X: 2     P98 Y: 15
P99 X: 8     P99 Y: 29
P100 X: 6     P100 Y: 25

